cwe_id,year,cve_count,pct_of_year,yoy_growth_pct
CWE-1394,2024,4,0.01,
CWE-1394,2025,6,0.01,50.0
CWE-1394,2026,6,0.01,0.0
CWE-14,2026,2,0.0,
CWE-140,2025,6,0.01,
CWE-140,2026,3,0.0,-50.0
CWE-141,2022,1,0.0,
CWE-141,2024,1,0.0,0.0
CWE-141,2025,3,0.01,200.0
CWE-141,2026,3,0.0,0.0
CWE-142,2025,2,0.0,
CWE-144,2026,1,0.0,
CWE-145,2026,1,0.0,
CWE-146,2022,1,0.0,
CWE-146,2024,1,0.0,0.0
CWE-146,2025,2,0.0,100.0
CWE-146,2026,2,0.0,0.0
CWE-147,2024,1,0.0,
CWE-147,2025,1,0.0,0.0
CWE-148,2026,1,0.0,
CWE-149,2025,3,0.01,
CWE-149,2026,1,0.0,-66.7
CWE-15,2021,1,0.0,
CWE-15,2023,4,0.01,300.0
CWE-15,2024,4,0.01,0.0
CWE-15,2025,22,0.04,450.0
CWE-15,2026,26,0.04,18.2
CWE-150,2023,3,0.01,
CWE-150,2024,6,0.01,100.0
CWE-150,2025,13,0.03,116.7
CWE-150,2026,26,0.04,100.0
CWE-153,2025,3,0.01,
CWE-153,2026,1,0.0,-66.7
CWE-155,2024,4,0.01,
CWE-155,2025,6,0.01,50.0
CWE-155,2026,2,0.0,-66.7
CWE-156,2025,5,0.01,
CWE-158,2024,1,0.0,
CWE-158,2025,7,0.01,600.0
CWE-158,2026,7,0.01,0.0
CWE-159,2025,2,0.0,
CWE-159,2026,2,0.0,0.0
CWE-16,1999,6,0.65,
CWE-16,2000,1,0.1,-83.3
CWE-16,2002,9,0.41,800.0
CWE-16,2003,11,0.71,22.2
CWE-16,2004,4,0.16,-63.6
CWE-16,2005,3,0.06,-25.0
CWE-16,2006,5,0.08,66.7
CWE-16,2007,32,0.49,540.0
CWE-16,2008,34,0.6,6.3
CWE-16,2009,49,0.85,44.1
CWE-16,2010,24,0.51,-51.0
CWE-16,2011,29,0.7,20.8
CWE-16,2012,19,0.36,-34.5
CWE-16,2013,20,0.38,5.3
CWE-16,2014,5,0.06,-75.0
CWE-16,2017,1,0.01,-80.0
CWE-16,2018,3,0.02,200.0
CWE-16,2019,2,0.01,-33.3
CWE-16,2026,2,0.0,0.0
CWE-162,2026,1,0.0,
CWE-164,2025,2,0.0,
CWE-166,2026,1,0.0,
CWE-167,2023,1,0.0,
CWE-167,2025,1,0.0,0.0
CWE-168,2026,1,0.0,
CWE-17,1997,1,0.4,
CWE-17,2005,2,0.04,100.0
CWE-17,2006,1,0.02,-50.0
CWE-17,2010,1,0.02,0.0
CWE-17,2013,1,0.02,0.0
CWE-17,2014,21,0.26,2000.0
CWE-17,2015,120,1.82,471.4
CWE-17,2016,13,0.2,-89.2
CWE-17,2017,2,0.01,-84.6
