cwe_id,year,cve_count,pct_of_year,yoy_growth_pct
CWE-17,2018,3,0.02,50.0
CWE-170,2021,2,0.01,
CWE-170,2024,2,0.0,0.0
CWE-170,2025,2,0.0,0.0
CWE-170,2026,9,0.01,350.0
CWE-172,2016,4,0.06,
CWE-172,2018,4,0.02,0.0
CWE-172,2026,2,0.0,-50.0
CWE-173,2026,3,0.0,
CWE-174,2026,1,0.0,
CWE-176,2024,3,0.01,
CWE-176,2025,2,0.0,-33.3
CWE-176,2026,12,0.02,500.0
CWE-177,2024,1,0.0,
CWE-177,2026,9,0.01,800.0
CWE-178,1998,1,0.4,
CWE-178,2000,3,0.29,200.0
CWE-178,2001,3,0.18,0.0
CWE-178,2002,3,0.14,0.0
CWE-178,2003,1,0.06,-66.7
CWE-178,2004,3,0.12,200.0
CWE-178,2005,1,0.02,-66.7
CWE-178,2007,1,0.02,0.0
CWE-178,2017,1,0.01,0.0
CWE-178,2018,2,0.01,100.0
CWE-178,2019,1,0.01,-50.0
CWE-178,2020,3,0.02,200.0
CWE-178,2021,6,0.03,100.0
CWE-178,2022,3,0.01,-50.0
CWE-178,2023,2,0.01,-33.3
CWE-178,2024,5,0.01,150.0
CWE-178,2025,7,0.01,40.0
CWE-178,2026,53,0.08,657.1
CWE-179,2026,3,0.0,
CWE-18,2014,1,0.01,
CWE-18,2015,2,0.03,100.0
CWE-18,2016,1,0.02,-50.0
CWE-18,2017,1,0.01,0.0
CWE-18,2019,1,0.01,0.0
CWE-180,2025,3,0.01,
CWE-180,2026,19,0.03,533.3
CWE-183,2024,1,0.0,
CWE-183,2025,3,0.01,200.0
CWE-183,2026,27,0.04,800.0
CWE-184,2017,2,0.01,
CWE-184,2018,3,0.02,50.0
CWE-184,2019,1,0.01,-66.7
CWE-184,2021,4,0.02,300.0
CWE-184,2024,5,0.01,25.0
CWE-184,2025,10,0.02,100.0
CWE-184,2026,99,0.15,890.0
CWE-185,2018,6,0.03,
CWE-185,2019,4,0.02,-33.3
CWE-185,2024,1,0.0,-75.0
CWE-185,2025,1,0.0,0.0
CWE-185,2026,16,0.02,1500.0
CWE-186,2025,1,0.0,
CWE-187,2022,1,0.0,
CWE-187,2024,1,0.0,0.0
CWE-187,2025,1,0.0,0.0
CWE-187,2026,7,0.01,600.0
CWE-188,2026,2,0.0,
CWE-189,2002,4,0.18,
CWE-189,2003,1,0.06,-75.0
CWE-189,2004,1,0.04,0.0
CWE-189,2005,13,0.26,1200.0
CWE-189,2006,35,0.53,169.2
CWE-189,2007,80,1.21,128.6
CWE-189,2008,140,2.47,75.0
CWE-189,2009,149,2.58,6.4
CWE-189,2010,132,2.83,-11.4
CWE-189,2011,105,2.52,-20.5
CWE-189,2012,132,2.47,25.7
CWE-189,2013,130,2.44,-1.5
CWE-189,2014,100,1.25,-23.1
CWE-189,2015,109,1.65,9.0
CWE-189,2016,34,0.52,-68.8
CWE-189,2017,20,0.11,-41.2
CWE-189,2018,2,0.01,-90.0
CWE-189,2019,5,0.03,150.0
CWE-189,2022,2,0.01,-60.0
CWE-189,2025,3,0.01,50.0
CWE-189,2026,25,0.04,733.3
CWE-19,1999,1,0.11,
CWE-19,2005,1,0.02,0.0
CWE-19,2007,1,0.02,0.0
CWE-19,2010,1,0.02,0.0
CWE-19,2014,16,0.2,1500.0
CWE-19,2015,60,0.91,275.0
CWE-19,2016,58,0.89,-3.3
CWE-19,2017,34,0.19,-41.4
CWE-19,2018,9,0.05,-73.5
CWE-19,2019,41,0.22,355.6
CWE-19,2025,1,0.0,-97.6
CWE-190,2002,2,0.09,
CWE-190,2004,3,0.12,50.0
CWE-190,2005,4,0.08,33.3
CWE-190,2006,2,0.03,-50.0
CWE-190,2007,7,0.11,250.0
CWE-190,2008,10,0.18,42.9
CWE-190,2009,5,0.09,-50.0
CWE-190,2010,18,0.39,260.0
CWE-190,2011,14,0.34,-22.2
CWE-190,2012,17,0.32,21.4
CWE-190,2013,14,0.26,-17.6
CWE-190,2014,8,0.1,-42.9
CWE-190,2015,14,0.21,75.0
CWE-190,2016,64,0.98,357.1
CWE-190,2017,213,1.18,232.8
CWE-190,2018,693,3.82,225.4
CWE-190,2019,199,1.05,-71.3
CWE-190,2020,181,0.94,-9.0
CWE-190,2021,229,1.04,26.5
CWE-190,2022,227,0.86,-0.9
CWE-190,2023,202,0.65,-11.0
CWE-190,2024,224,0.55,10.9
CWE-190,2025,251,0.5,12.1
CWE-190,2026,504,0.76,100.8
CWE-191,2004,1,0.04,
CWE-191,2005,3,0.06,200.0
CWE-191,2007,1,0.02,-66.7
CWE-191,2010,2,0.04,100.0
CWE-191,2011,4,0.1,100.0
CWE-191,2012,1,0.02,-75.0
