cwe_id,feature_year,current_centrality,actual_next_centrality,predicted_next_centrality,naive_predicted_next_centrality
CWE-326,2025,0.0023979448416324408,0.010158572665042415,0.009870296357739897,0.0023979448416324408
CWE-327,2025,0.0018087275368043967,0.013672469687679533,0.009870296357739897,0.0018087275368043967
CWE-328,2025,0.0002963526793916532,0.0008066781338240595,0.009870296357739897,0.0002963526793916532
CWE-330,2025,1.6290808724410568e-05,0.006305171387893904,0.009870296357739897,1.6290808724410568e-05
CWE-331,2025,0.00023318993894771853,0.01734073300394066,0.009870296357739897,0.00023318993894771853
CWE-338,2025,0.00031072783412122647,0.0009716950027150477,0.009870296357739897,0.00031072783412122647
CWE-340,2025,0.005630408096747931,0.00038861673147341064,0.016491001969734707,0.005630408096747931
CWE-345,2025,0.013680961757225699,0.01228179660004672,0.022526143293278168,0.013680961757225699
CWE-346,2025,0.007548530378754247,0.019214480140615463,0.01799486866670971,0.007548530378754247
CWE-347,2025,0.014137270999311441,0.03003325533034084,0.022526143293278168,0.014137270999311441
CWE-348,2025,-0.0,0.0020499266654788453,0.009870296357739897,-0.0
CWE-349,2025,0.010452783237985494,0.018427879373013323,0.02095099011073399,0.010452783237985494
CWE-351,2025,0.0002605029052041303,0.000604112625960899,0.009870296357739897,0.0002605029052041303
CWE-352,2025,0.014092427936139637,0.029253313222812563,0.037178913805420905,0.014092427936139637
CWE-353,2025,0.009029779688573096,0.0018957834505468787,0.019312523764402355,0.009029779688573096
CWE-354,2025,0.0024660896907489067,0.0023460582191897725,0.009870296357739897,0.0024660896907489067
CWE-356,2025,0.0008083872893880012,3.9750389225210504e-05,0.009870296357739897,0.0008083872893880012
CWE-357,2025,0.002840900183728331,0.017510782508756994,0.009870296357739897,0.002840900183728331
CWE-358,2025,0.0025083999477721075,0.0173323194540032,0.009870296357739897,0.0025083999477721075
CWE-359,2025,0.00570554579365368,0.14378297444448399,0.017077951677837745,0.00570554579365368
CWE-362,2025,0.022332998456047207,0.05113481846819856,0.03986394846336423,0.022332998456047207
CWE-367,2025,0.11518912947210118,0.2258777412846172,0.07870899311215557,0.11518912947210118
CWE-369,2025,0.0026108193541585518,0.02480885024088425,0.009870296357739897,0.0026108193541585518
CWE-377,2025,8.779279663044312e-05,0.0029396472769796294,0.009870296357739897,8.779279663044312e-05
CWE-378,2025,9.411955094676085e-05,0.0007724420452859491,0.009870296357739897,9.411955094676085e-05
CWE-379,2025,0.00011821171069619619,0.00016851665880628222,0.009870296357739897,0.00011821171069619619
CWE-384,2025,0.002061618321782638,0.0033662758798010044,0.009870296357739897,0.002061618321782638
CWE-385,2025,0.00018322571184222706,0.0003440713621168759,0.009870296357739897,0.00018322571184222706
CWE-390,2025,0.009858643007420622,0.0021644376630303905,0.02095099011073399,0.009858643007420622
CWE-394,2025,0.0003505952573001548,0.00046950991950398576,0.009870296357739897,0.0003505952573001548
CWE-400,2025,0.036836525642779866,0.061058626627359266,0.042599072200341564,0.036836525642779866
CWE-401,2025,0.016082901222875288,0.13383817062382336,0.0230475281991344,0.016082901222875288
CWE-402,2025,2.9983028894451743e-05,0.0,0.009870296357739897,2.9983028894451743e-05
CWE-404,2025,0.014894682015302481,0.0035310936080571844,0.022526143293278168,0.014894682015302481
CWE-405,2025,7.018610513824716e-05,0.0013250697232534041,0.009870296357739897,7.018610513824716e-05
CWE-407,2025,0.00036135661368416193,0.0042751634301987996,0.009870296357739897,0.00036135661368416193
CWE-409,2025,0.0002662432576498871,0.005281049230363374,0.009870296357739897,0.0002662432576498871
CWE-410,2025,0.004009352235587095,0.00813992963443527,0.009870296357739897,0.004009352235587095
CWE-415,2025,0.18858091101139254,0.08332091501282964,0.15384709861377485,0.18858091101139254
CWE-416,2025,0.2789455911082388,0.28154150640582615,0.2961132193173977,0.2789455911082388
CWE-420,2025,5.832647102213133e-05,0.0085991237381645,0.009870296357739897,5.832647102213133e-05
CWE-424,2025,6.638752389257701e-05,0.0001982309594881459,0.009870296357739897,6.638752389257701e-05
CWE-425,2025,0.00038576977840794254,0.0014760431241967475,0.009870296357739897,0.00038576977840794254
CWE-426,2025,0.006473418294415298,0.027664680872081755,0.01799486866670971,0.006473418294415298
CWE-427,2025,0.002632248026218423,0.00709572234655128,0.009870296357739897,0.002632248026218423
CWE-428,2025,0.001097575187386819,0.0007695323866361071,0.009870296357739897,0.001097575187386819
CWE-434,2025,0.014570572860630389,0.008986185905983528,0.037178913805420905,0.014570572860630389
CWE-440,2025,0.0011844803305156592,0.000993309357634467,0.009870296357739897,0.0011844803305156592
CWE-441,2025,0.0006607419284449488,0.0037745338929830816,0.009870296357739897,0.0006607419284449488
CWE-444,2025,0.000557552511130307,0.008800760212636967,0.009870296357739897,0.000557552511130307
CWE-451,2025,0.005253524493325401,0.011453714684910752,0.015900472269009078,0.005253524493325401
CWE-457,2025,0.01032476090726861,0.14962284946038987,0.02095099011073399,0.01032476090726861
CWE-459,2025,0.007698282235714937,0.005670643217146942,0.01799486866670971,0.007698282235714937
CWE-470,2025,0.00012070970638231504,0.0016289673606087534,0.009870296357739897,0.00012070970638231504
CWE-472,2025,0.0004381613421878279,0.002187384474709476,0.009870296357739897,0.0004381613421878279
CWE-476,2025,0.20328336079724119,0.24991177439122098,0.15536764086661206,0.20328336079724119
CWE-488,2025,-0.0,0.0010638309241263772,0.009870296357739897,-0.0
CWE-489,2025,0.01004568180066896,0.0002657932686742842,0.02095099011073399,0.01004568180066896
CWE-494,2025,0.0011398703730259047,0.001861787417954242,0.009870296357739897,0.0011398703730259047
CWE-497,2025,0.13178835556684304,0.08833659825057329,0.12971596771514393,0.13178835556684304
CWE-502,2025,0.01185824242579023,0.04274341118315982,0.035849870930164056,0.01185824242579023
CWE-506,2025,3.548201343536966e-05,0.00016365474329724935,0.009870296357739897,3.548201343536966e-05
CWE-521,2025,0.0015430842171911996,0.0011866480629821143,0.009870296357739897,0.0015430842171911996
CWE-522,2025,0.0025006861115574827,0.015445701587937039,0.009870296357739897,0.0025006861115574827
CWE-523,2025,1.2220405320093217e-05,0.00010998272867832764,0.009870296357739897,1.2220405320093217e-05
CWE-524,2025,0.0008988176118721498,0.001891830850687873,0.009870296357739897,0.0008988176118721498
CWE-525,2025,0.00034889893230317324,0.00017535724081135662,0.009870296357739897,0.00034889893230317324
CWE-526,2025,7.066683773999249e-05,0.00031247563752147365,0.009870296357739897,7.066683773999249e-05
CWE-532,2025,0.018320552554176073,0.03963620320592509,0.039423235924508304,0.018320552554176073
CWE-538,2025,0.00037677197866434263,0.0009489135378961777,0.009870296357739897,0.00037677197866434263
CWE-540,2025,7.833528123589983e-05,0.00019497334553597714,0.009870296357739897,7.833528123589983e-05
CWE-548,2025,0.0007907300264915913,0.00020040630424846809,0.009870296357739897,0.0007907300264915913
CWE-549,2025,-0.0,0.0,0.009870296357739897,-0.0
CWE-552,2025,0.002031977773964412,0.013516195485486276,0.009870296357739897,0.002031977773964412
CWE-565,2025,0.00012363109490914282,0.0006320390205269753,0.009870296357739897,0.00012363109490914282
CWE-590,2025,0.0013020716450392966,0.00525464342235435,0.009870296357739897,0.0013020716450392966
CWE-591,2025,0.01080409385814751,0.0,0.02095099011073399,0.01080409385814751
CWE-598,2025,0.0008180225692828609,0.0008343733410428812,0.009870296357739897,0.0008180225692828609
CWE-599,2025,0.00030383832895531255,1.3675868264881619e-05,0.009870296357739897,0.00030383832895531255
CWE-601,2025,0.011134777998713057,0.013493761906289538,0.03560376062287673,0.011134777998713057
CWE-602,2025,0.0011220431523160314,0.001978028171376414,0.009870296357739897,0.0011220431523160314
CWE-603,2025,3.9610984752543935e-05,0.0005278212365862245,0.009870296357739897,3.9610984752543935e-05
CWE-610,2025,0.0018303588592038652,0.00655583390278601,0.009870296357739897,0.0018303588592038652
CWE-611,2025,0.001979348401477,0.005284609677025307,0.009870296357739897,0.001979348401477
CWE-613,2025,0.0030248389794046257,0.010004545383062571,0.009870296357739897,0.0030248389794046257
CWE-614,2025,0.0011051817073971563,0.0003671632208060113,0.009870296357739897,0.0011051817073971563
CWE-617,2025,0.2081011755622577,0.13909247787815263,0.15712836373637196,0.2081011755622577
CWE-620,2025,0.0003686762223536157,0.0007530367045869207,0.009870296357739897,0.0003686762223536157
CWE-639,2025,0.004608240523124899,0.016562849726709506,0.010508296494055129,0.004608240523124899
CWE-640,2025,0.0009000129635322353,0.0011879206287095606,0.009870296357739897,0.0009000129635322353
CWE-644,2025,0.00010465562684482016,0.0007421556081422662,0.009870296357739897,0.00010465562684482016
CWE-648,2025,5.289179498444281e-05,0.00899016604888238,0.009870296357739897,5.289179498444281e-05
CWE-653,2025,0.0020446693429665183,0.0009534326609526203,0.009870296357739897,0.0020446693429665183
