source,target,weight,source_x,source_y,target_x,target_y
CWE-20,CWE-1241,1.0,0.013655856251716614,-0.010220822878181934,0.25305843353271484,0.41231846809387207
CWE-20,CWE-565,25.0,0.013655856251716614,-0.010220822878181934,0.1050262525677681,0.06316283345222473
CWE-20,CWE-348,6.0,0.013655856251716614,-0.010220822878181934,-0.07902655750513077,0.2362358719110489
CWE-20,CWE-299,14.0,0.013655856251716614,-0.010220822878181934,-0.21965087950229645,-0.11875804513692856
CWE-20,CWE-338,50.0,0.013655856251716614,-0.010220822878181934,0.10392333567142487,-0.042628854513168335
CWE-20,CWE-303,14.0,0.013655856251716614,-0.010220822878181934,0.009081863798201084,-0.1664392650127411
CWE-20,CWE-118,42.0,0.013655856251716614,-0.010220822878181934,0.03132905811071396,-0.11091423779726028
CWE-20,CWE-255,203.0,0.013655856251716614,-0.010220822878181934,0.03339102864265442,0.024794790893793106
CWE-20,CWE-863,1099.0,0.013655856251716614,-0.010220822878181934,0.003841581754386425,0.00365290860645473
CWE-20,CWE-440,7.0,0.013655856251716614,-0.010220822878181934,0.0972217321395874,-0.24312055110931396
CWE-20,CWE-73,76.0,0.013655856251716614,-0.010220822878181934,-0.05950723960995674,0.006641955114901066
CWE-20,CWE-379,5.0,0.013655856251716614,-0.010220822878181934,0.24753598868846893,-0.07228720933198929
CWE-20,CWE-203,1226.0,0.013655856251716614,-0.010220822878181934,0.026566874235868454,-0.014602893963456154
CWE-20,CWE-347,361.0,0.013655856251716614,-0.010220822878181934,0.04296262934803963,-0.04241947457194328
CWE-20,CWE-400,1531.0,0.013655856251716614,-0.010220822878181934,0.010623614303767681,-0.016742393374443054
CWE-20,CWE-362,1972.0,0.013655856251716614,-0.010220822878181934,0.0016376582207158208,-0.035644758492708206
CWE-20,CWE-532,210.0,0.013655856251716614,-0.010220822878181934,0.004590913187712431,0.04939911887049675
CWE-20,CWE-327,320.0,0.013655856251716614,-0.010220822878181934,-0.008809749037027359,0.023058077320456505
CWE-20,CWE-117,8.0,0.013655856251716614,-0.010220822878181934,-0.16495096683502197,-0.08664260059595108
CWE-20,CWE-665,1305.0,0.013655856251716614,-0.010220822878181934,0.019550861790776253,-0.024026811122894287
CWE-20,CWE-682,145.0,0.013655856251716614,-0.010220822878181934,0.0610024519264698,-0.06976088881492615
CWE-20,CWE-437,1.0,0.013655856251716614,-0.010220822878181934,-0.571895956993103,-0.651310384273529
CWE-20,CWE-305,12.0,0.013655856251716614,-0.010220822878181934,-0.00037496528238989413,-0.13640236854553223
CWE-20,CWE-120,3365.0,0.013655856251716614,-0.010220822878181934,0.012633265927433968,-0.03706148639321327
CWE-20,CWE-918,236.0,0.013655856251716614,-0.010220822878181934,0.0036613186821341515,0.078427255153656
CWE-20,CWE-668,861.0,0.013655856251716614,-0.010220822878181934,0.0337914302945137,-0.028059447184205055
CWE-20,CWE-399,731.0,0.013655856251716614,-0.010220822878181934,0.03767465054988861,-0.006188033148646355
CWE-20,CWE-908,648.0,0.013655856251716614,-0.010220822878181934,0.035926152020692825,-0.04711243882775307
CWE-20,CWE-270,5.0,0.013655856251716614,-0.010220822878181934,0.22353467345237732,-0.16683748364448547
CWE-20,CWE-413,2.0,0.013655856251716614,-0.010220822878181934,0.3628363013267517,-0.20998376607894897
CWE-20,CWE-922,75.0,0.013655856251716614,-0.010220822878181934,0.06546221673488617,0.03386813774704933
CWE-20,CWE-349,33.0,0.013655856251716614,-0.010220822878181934,0.11062750220298767,-0.0357595831155777
CWE-20,CWE-762,2.0,0.013655856251716614,-0.010220822878181934,0.4141008257865906,-0.027370860800147057
CWE-20,CWE-779,2.0,0.013655856251716614,-0.010220822878181934,0.3804226517677307,0.17475050687789917
CWE-20,CWE-732,424.0,0.013655856251716614,-0.010220822878181934,0.02227548137307167,0.01864282600581646
CWE-20,CWE-352,874.0,0.013655856251716614,-0.010220822878181934,-0.006803485099226236,0.04415507614612579
CWE-20,CWE-697,213.0,0.013655856251716614,-0.010220822878181934,0.051215965300798416,-0.034580256789922714
CWE-20,CWE-119,4712.0,0.013655856251716614,-0.010220822878181934,0.018370850011706352,-0.027967318892478943
CWE-20,CWE-319,686.0,0.013655856251716614,-0.010220822878181934,0.0017935276264324784,0.010903041809797287
CWE-20,CWE-754,469.0,0.013655856251716614,-0.010220822878181934,-0.006967027205973864,-0.050960857421159744
CWE-20,CWE-134,155.0,0.013655856251716614,-0.010220822878181934,-0.026856640353798866,-0.02356676012277603
CWE-20,CWE-269,870.0,0.013655856251716614,-0.010220822878181934,-0.004313076380640268,0.005534616764634848
CWE-20,CWE-74,328.0,0.013655856251716614,-0.010220822878181934,0.007661097217351198,0.036121878772974014
CWE-20,CWE-670,48.0,0.013655856251716614,-0.010220822878181934,-0.08437123149633408,-0.005825157277286053
CWE-20,CWE-427,101.0,0.013655856251716614,-0.010220822878181934,0.05031239241361618,0.015679018571972847
CWE-20,CWE-601,251.0,0.013655856251716614,-0.010220822878181934,-0.021442092955112457,0.053651925176382065
CWE-20,CWE-77,577.0,0.013655856251716614,-0.010220822878181934,-0.006357021164149046,0.01131310686469078
CWE-20,CWE-551,4.0,0.013655856251716614,-0.010220822878181934,-0.2832152545452118,0.06368494778871536
CWE-20,CWE-388,87.0,0.013655856251716614,-0.010220822878181934,0.07492925971746445,-0.05114976689219475
CWE-20,CWE-209,124.0,0.013655856251716614,-0.010220822878181934,0.033389706164598465,0.06125031039118767
CWE-20,CWE-184,19.0,0.013655856251716614,-0.010220822878181934,-0.04337943717837334,0.13456769287586212
CWE-20,CWE-231,2.0,0.013655856251716614,-0.010220822878181934,0.34265074133872986,0.002918646205216646
CWE-21,CWE-434,1.0,0.045727092772722244,-0.4582710564136505,-0.010650712065398693,0.05606949329376221
CWE-21,CWE-264,1.0,0.045727092772722244,-0.4582710564136505,0.022591320797801018,0.004412608686834574
CWE-21,CWE-1188,1.0,0.045727092772722244,-0.4582710564136505,0.05926224961876869,-0.008316917344927788
CWE-21,CWE-89,1.0,0.045727092772722244,-0.4582710564136505,-0.00555427884683013,0.05527329444885254
CWE-22,CWE-242,2.0,-0.001189596951007843,0.03682870417833328,0.36351364850997925,0.3011346161365509
CWE-22,CWE-89,1008.0,-0.001189596951007843,0.03682870417833328,-0.00555427884683013,0.05527329444885254
CWE-22,CWE-838,6.0,-0.001189596951007843,0.03682870417833328,0.09236578643321991,0.19294214248657227
CWE-22,CWE-59,324.0,-0.001189596951007843,0.03682870417833328,0.042759016156196594,-0.010494619607925415
CWE-22,CWE-403,3.0,-0.001189596951007843,0.03682870417833328,0.29626578092575073,-0.007267076056450605
CWE-22,CWE-1323,1.0,-0.001189596951007843,0.03682870417833328,-0.5404990315437317,0.17392997443675995
CWE-22,CWE-79,2548.0,-0.001189596951007843,0.03682870417833328,0.0017418835777789354,0.038216229528188705
CWE-22,CWE-417,7.0,-0.001189596951007843,0.03682870417833328,0.14705494046211243,0.13297243416309357
CWE-22,CWE-36,20.0,-0.001189596951007843,0.03682870417833328,-0.12021876871585846,0.09252014756202698
CWE-22,CWE-213,2.0,-0.001189596951007843,0.03682870417833328,0.05670783296227455,0.37291520833969116
CWE-22,CWE-538,12.0,-0.001189596951007843,0.03682870417833328,-0.09071210771799088,0.1826019585132599
CWE-22,CWE-472,11.0,-0.001189596951007843,0.03682870417833328,0.19436852633953094,0.10663936287164688
CWE-22,CWE-1236,29.0,-0.001189596951007843,0.03682870417833328,-0.020839054137468338,0.115092933177948
CWE-22,CWE-88,79.0,-0.001189596951007843,0.03682870417833328,-0.07136952131986618,0.015091040171682835
CWE-22,CWE-428,24.0,-0.001189596951007843,0.03682870417833328,0.05543689802289009,0.10267236083745956
CWE-22,CWE-297,10.0,-0.001189596951007843,0.03682870417833328,0.1657181680202484,0.04847067594528198
CWE-22,CWE-1393,5.0,-0.001189596951007843,0.03682870417833328,0.037282004952430725,0.26030951738357544
CWE-22,CWE-78,1137.0,-0.001189596951007843,0.03682870417833328,-0.025486763566732407,0.012438386678695679
CWE-22,CWE-925,1.0,-0.001189596951007843,0.03682870417833328,0.474090039730072,0.17323052883148193
CWE-22,CWE-248,22.0,-0.001189596951007843,0.03682870417833328,0.09226182103157043,-0.11098392307758331
CWE-22,CWE-91,40.0,-0.001189596951007843,0.03682870417833328,0.03289328143000603,0.09982945024967194
CWE-22,CWE-840,5.0,-0.001189596951007843,0.03682870417833328,-0.046494536101818085,0.2373180091381073
CWE-22,CWE-606,6.0,-0.001189596951007843,0.03682870417833328,-0.18138667941093445,-0.16101165115833282
CWE-22,CWE-829,55.0,-0.001189596951007843,0.03682870417833328,-0.005610831081867218,0.08756152540445328
CWE-22,CWE-356,7.0,-0.001189596951007843,0.03682870417833328,0.13261988759040833,0.14514578878879547
CWE-22,CWE-787,1016.0,-0.001189596951007843,0.03682870417833328,0.013456960208714008,-0.030299469828605652
CWE-22,CWE-322,2.0,-0.001189596951007843,0.03682870417833328,-0.36689940094947815,-0.01070033572614193
CWE-22,CWE-706,46.0,-0.001189596951007843,0.03682870417833328,-0.06011076271533966,-0.03729468584060669
CWE-22,CWE-463,1.0,-0.001189596951007843,0.03682870417833328,-0.35012850165367126,-0.16636687517166138
CWE-22,CWE-90,24.0,-0.001189596951007843,0.03682870417833328,0.10086046159267426,0.0804239884018898
CWE-22,CWE-80,25.0,-0.001189596951007843,0.03682870417833328,0.09519848972558975,0.11951696872711182
CWE-22,CWE-93,29.0,-0.001189596951007843,0.03682870417833328,0.06010407209396362,0.11013355851173401
CWE-22,CWE-214,3.0,-0.001189596951007843,0.03682870417833328,-0.06476020812988281,0.282869815826416
CWE-22,CWE-66,1.0,-0.001189596951007843,0.03682870417833328,0.35720905661582947,0.493529349565506
CWE-22,CWE-407,18.0,-0.001189596951007843,0.03682870417833328,0.11985025554895401,0.05160811170935631
CWE-22,CWE-611,212.0,-0.001189596951007843,0.03682870417833328,0.024818701669573784,0.047115977853536606
CWE-22,CWE-24,8.0,-0.001189596951007843,0.03682870417833328,0.15922583639621735,0.08603101968765259
CWE-22,CWE-174,1.0,-0.001189596951007843,0.03682870417833328,-0.47526416182518005,-0.08035188168287277
