vendor,pca_x,pca_y,archetype_cluster,archetype_label,total_cves,share_CWE-79,share_CWE-89,share_CWE-787,share_CWE-119,share_CWE-20,share_CWE-22,share_CWE-352,share_CWE-125,share_CWE-862,share_CWE-200,share_CWE-416,share_CWE-78,share_CWE-476,share_CWE-264,share_CWE-94,share_CWE-284,share_CWE-287,share_CWE-434,share_CWE-120,share_CWE-74,share_Other
ashlar,-2.6144257030685774,-1.1057896036732455,2,Memory-safety-heavy,104,0.0,0.0,0.27884615384615385,0.009615384615384616,0.0,0.0,0.0,0.17307692307692307,0.0,0.0,0.04807692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009615384615384616,0.0,0.4807692307692308
aspindir,1.0451165273638512,-0.8777858589068834,1,Web-injection-heavy,34,0.03571428571428571,0.6785714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asrmicro,-2.3339918309704566,-0.436355260481329,2,Memory-safety-heavy,20,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.6
assimp,-3.2639898884581102,-2.2259084320425053,2,Memory-safety-heavy,47,0.0,0.0,0.10638297872340426,0.3617021276595745,0.0,0.0,0.0,0.2765957446808511,0.0,0.0,0.06382978723404255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0851063829787234,0.0,0.10638297872340426
asterisk,-1.3877069027093696,1.9036915486040842,0,Diffuse (no dominant category),52,0.0,0.02857142857142857,0.0,0.2,0.08571428571428572,0.0,0.0,0.02857142857142857,0.0,0.08571428571428572,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.34285714285714286
astro,0.3368944607383967,0.5120724924648468,0,Diffuse (no dominant category),26,0.3076923076923077,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
asus,-0.5188461444515124,0.5256507800917347,0,Diffuse (no dominant category),273,0.11210762331838565,0.017937219730941704,0.053811659192825115,0.04932735426008968,0.026905829596412557,0.04484304932735426,0.04035874439461883,0.013452914798206279,0.004484304932735426,0.04932735426008968,0.0,0.08968609865470852,0.008968609865470852,0.013452914798206279,0.0,0.0,0.03139013452914798,0.008968609865470852,0.14798206278026907,0.008968609865470852,0.27802690582959644
asustor,0.6224154187779611,1.2240640048774318,0,Diffuse (no dominant category),62,0.11475409836065574,0.01639344262295082,0.03278688524590164,0.0,0.01639344262295082,0.2459016393442623,0.0,0.0,0.0,0.08196721311475409,0.0,0.13114754098360656,0.0,0.0,0.0,0.0,0.0,0.03278688524590164,0.0,0.0,0.32786885245901637
aten,0.2869377645453652,1.5302960976293971,0,Diffuse (no dominant category),27,0.0,0.0,0.0,0.0,0.0,0.2,0.04,0.04,0.08,0.0,0.04,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.48
atlassian,1.0517462604712968,0.5151082686911186,0,Diffuse (no dominant category),472,0.2804232804232804,0.0,0.0,0.0026455026455026454,0.03439153439153439,0.05291005291005291,0.08465608465608465,0.0,0.03439153439153439,0.042328042328042326,0.0,0.010582010582010581,0.0,0.005291005291005291,0.05291005291005291,0.007936507936507936,0.03439153439153439,0.015873015873015872,0.0,0.023809523809523808,0.31746031746031744
atmail,2.3340572805508533,-1.1365817521093802,1,Web-injection-heavy,32,0.5238095238095238,0.047619047619047616,0.0,0.0,0.0,0.09523809523809523,0.23809523809523808,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0
atos,-0.24718706312141422,1.7318779884416304,0,Diffuse (no dominant category),25,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.75
